Feature,Importance,
pedestrian_involved,0.304059,
motorcycle_involved,0.182893,
longitude,0.131649,
hour_of_day,0.094977,
latitude,0.061320,
crash_speed_limit,0.060280,
Location group,0.044014,
bicycle_involved,0.040045,
week_of_year,0.034559,
day_of_week,0.010536,
onsys_fl ,0.009532,
large passenger vehicle_involved,0.009494,
e-scooter_involved,0.007923,
passenger car_involved,0.003672,
road_constr_zone_fl,0.001917,
motor vehicle_involved,0.001866,
other_involved,0.001263,
private_dr_fl,0.000000,
train_involved,0.000000,
micromobility device_involved,0.000000,
